Incident-Exp#,Alarm Date,Alarm Time,Location and Incident type
19-0004615-000,07/23/2019,19:42:26,Arden DR CH/Champaig 162 Outside equipment fire
16-0006733-000,11/11/2016,09:36:35,"Blackhawk PT CH/Cham 160 Special outside fire, Other"
19-0004877-000,08/04/2019,15:06:53,Bloomington RD CH/A 162 Outside equipment fire
18-0002870-000,05/01/2018,18:24:54,"W Bradley AVE CH/Cha 160 Special outside fire, Other"
20-0001649-000,03/08/2020,17:49:45,"Country Bend LA CH/C 160 Special outside fire, Other"
17-0003392-000,06/11/2017,15:52:44,"N Country Fair DR CH 160 Special outside fire, Other"
16-0001666-000,03/22/2016,14:07:11,"W Curtis RD CH/Carle 160 Special outside fire, Other"
19-0004978-000,08/08/2019,11:32:52,"Edgebrook DR CH 160 Special outside fire, Other"
18-0005068-000,08/12/2018,19:55:26,"Heather,The CH 160 Special outside fire, Other"
16-0007804-000,12/25/2016,08:20:47,Higgins RD CH/Champai 161 Outside storage fire
16-0001781-000,03/28/2016,18:34:47,"W Kirby AVE CH 160 Special outside fire, Other"
18-0002826-000,04/30/2018,16:29:38,"Litchfield LA CH 160 Special outside fire, Other"
17-0002738-000,05/13/2017,15:01:32,Lynwood DR CH 162 Outside equipment fire
17-0004913-000,08/20/2017,22:23:58,Main ST CH/Jupiters; J 162 Outside equipment fire
17-0003290-000,06/06/2017,18:08:33,"N Mattis AVE CH/Champ 160 Special outside fire, Other"
20-0005258-000,08/20/2020,15:14:28,"S Mattis AVE CH/Talec 170 Cultivated vegetation, crop"
20-0001139-000,02/17/2020,22:15:26,S Mattis AVE CH/Chase 162 Outside equipment fire
18-0002871-000,05/01/2018,18:40:55,"Moreland BLVD CH/Bui 160 Special outside fire, Other"
17-0004951-000,08/22/2017,21:39:05,N Neil ST CH/Bank of 162 Outside equipment fire
19-0002438-000,04/17/2019,19:12:19,S Neil ST CH/Scanics; 173 Cultivated trees or nursery
20-0006497-000,10/09/2020,15:50:25,"Old Farm RD CH/Champ 160 Special outside fire, Other"
19-0006059-000,09/19/2019,14:34:10,"N Prospect AVE CH/PR 160 Special outside fire, Other"
19-0008218-000,12/13/2019,00:39:21,Scottsdale DR CH/Cha 162 Outside equipment fire
20-0004066-000,07/04/2020,00:07:59,"E Springfield AVE CH/ 160 Special outside fire, Other"
20-0005254-000,08/20/2020,12:12:42,"W Springfield AVE CH 170 Cultivated vegetation, crop"
18-0006340-000,10/03/2018,15:45:30,"W Springfield AVE CH 160 Special outside fire, Other"
17-0003600-000,06/21/2017,19:28:05,W Springfield AVE CH 163 Outside gas or vapor combust
20-0003378-000,06/02/2020,17:33:03,"W Springfield AVE CH 160 Special outside fire, Other"
18-0004639-000,07/22/2018,01:39:22,"S Third ST CH 160 Special outside fire, Other"
19-0006798-000,10/18/2019,21:18:46,"W Washington ST CH/C 160 Special outside fire, Other"
16-0006074-000,10/14/2016,13:25:47,"William ST CH/Champa 160 Special outside fire, Other"
16-0003071-000,05/30/2016,17:52:31,Willowpark DR CH/Cha 162 Outside equipment fire
20-0006173-000,09/26/2020,17:12:36,AVE CH & W Olympia 171 Cultivated grain or crop fir
16-0005605-000,09/24/2016,13:06:57,LN CH & Interstat 171 Cultivated grain or crop fir
16-0005088-000,09/02/2016,11:26:16,N Broadway AVE UR/SAV 161 Outside storage fire
